,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
50,2004-03-01,58.50607483699188,41.13601124288524,60.490647374994595,58.50607483699188,58.50607483699188,-8.05302383682909,-8.05302383682909,-8.05302383682909,-8.05302383682909,-8.05302383682909,-8.05302383682909,0.0,0.0,0.0,50.45305100016279
51,2004-04-01,58.149449106923015,42.80758806910519,62.78614980281164,58.149449106923015,58.149449106923015,-5.106110465814808,-5.106110465814808,-5.106110465814808,-5.106110465814808,-5.106110465814808,-5.106110465814808,0.0,0.0,0.0,53.04333864110821
52,2004-05-01,57.80432743266284,54.64669011236208,74.6771713572878,57.80432743266284,57.80432743266284,6.864980598350955,6.864980598350955,6.864980598350955,6.864980598350955,6.864980598350955,6.864980598350955,0.0,0.0,0.0,64.6693080310138
53,2004-06-01,57.447701702593996,50.298356602747596,70.41763385643752,57.447701702593996,57.447701702593996,3.290350700473415,3.290350700473415,3.290350700473415,3.290350700473415,3.290350700473415,3.290350700473415,0.0,0.0,0.0,60.738052403067414
54,2004-07-01,57.10258002833381,60.37523282069856,80.99028380018817,57.10258002833381,57.10258002833381,13.645271211517304,13.645271211517304,13.645271211517304,13.645271211517304,13.645271211517304,13.645271211517304,0.0,0.0,0.0,70.74785123985112
55,2004-08-01,56.745954298264955,51.132215617031235,70.4006488566072,56.745954298264955,56.745954298264955,3.5853693312249466,3.5853693312249466,3.5853693312249466,3.5853693312249466,3.5853693312249466,3.5853693312249466,0.0,0.0,0.0,60.3313236294899
56,2004-09-01,56.38932856819611,60.68793525396893,80.73398960359651,56.38932856819611,56.38932856819611,14.882147896998488,14.882147896998488,14.882147896998488,14.882147896998488,14.882147896998488,14.882147896998488,0.0,0.0,0.0,71.2714764651946
57,2004-10-01,56.04422510324915,49.70486173743912,69.17746779511727,56.04422510324915,56.04422510324915,3.4008785432047612,3.4008785432047612,3.4008785432047612,3.4008785432047612,3.4008785432047612,3.4008785432047612,0.0,0.0,0.0,59.44510364645391
58,2004-11-01,55.687618189470626,40.60451247200003,60.00727656500963,55.687618189470626,55.687618189470626,-5.132217037788836,-5.132217037788836,-5.132217037788836,-5.132217037788836,-5.132217037788836,-5.132217037788836,0.0,0.0,0.0,50.55540115168179
59,2004-12-01,55.342514724523674,42.27124704908341,61.12613641535941,55.342514724523674,55.342514724523674,-3.467711667037155,-3.467711667037155,-3.467711667037155,-3.467711667037155,-3.467711667037155,-3.467711667037155,0.0,0.0,0.0,51.87480305748652
60,2005-01-01,54.98590781074515,33.640253400090785,53.263421987532624,54.98590781074515,54.98590781074515,-11.116613623549489,-11.116613623549489,-11.116613623549489,-11.116613623549489,-11.116613623549489,-11.116613623549489,0.0,0.0,0.0,43.869294187195656
61,2005-02-01,54.629300896966626,33.02692695513213,53.78957966771287,54.629300896966626,54.629300896966626,-11.473430073840069,-11.473430073840069,-11.473430073840069,-11.473430073840069,-11.473430073840069,-11.473430073840069,0.0,0.0,0.0,43.155870823126556
